Frame,yaw,pitch,roll
00000,1,0,0
00001,1,0,0
00002,1,0,0
00003,1,0,0
00004,1,0,0
00005,1,0,0
00006,1,0,0
00007,1,0,0
00008,1,0,0
00009,1,0,0
00010,1,0,0
00011,1,0,0
00012,1,0,0
00013,1,0,0
00014,1,0,0
00015,1,0,0
00016,1,0,0
00017,1,0,0
00018,1,0,0
00019,1,0,0
00020,1,0,0
00021,1,0,0
00022,1,0,0
00023,1,0,0
00024,1,0,0
00025,1,0,0
00026,1,0,0
00027,1,0,0
00028,1,0,0
00029,1,0,0
00030,45,0,0
00031,45,0,0
00032,45,0,0
00033,45,0,0
00034,45,0,0
00035,45,0,0
00036,45,0,0
00037,45,0,0
00038,45,0,0
00039,45,0,0
00040,45,0,0
00041,45,0,0
00042,45,0,0
00043,45,0,0
00044,45,0,0
00045,45,0,0
00046,45,0,0
00047,45,0,0
00048,45,0,0
00049,45,0,0
00050,45,0,0
00051,45,0,0
00052,45,0,0
00053,45,0,0
00054,45,0,0
00055,45,0,0
00056,45,0,0
00057,45,0,0
00058,45,0,0
00059,45,0,0
00060,45,0,0
00061,45,0,0
00062,45,0,0
00063,45,0,0
00064,45,0,0
00065,45,0,0
00066,45,0,0
00067,45,0,0
00068,45,0,0
00069,45,0,0
00070,45,0,0
00071,45,0,0
00072,45,0,0
00073,45,0,0
00074,45,0,0
00075,45,0,0
00076,45,0,0
00077,45,0,0
00078,45,0,0
00079,45,0,0
00080,45,0,0
00081,45,0,0
00082,45,0,0
00083,45,0,0
00084,45,0,0
00085,45,0,0
00086,45,0,0
00087,45,0,0
00088,45,0,0
00089,45,0,0
00090,45,0,0
00091,45,0,0
00092,45,0,0
00093,45,0,0
00094,45,0,0
00095,45,0,0
00096,45,0,0
00097,45,0,0
00098,45,0,0
00099,45,0,0
00100,45,0,0
00101,45,0,0
00102,45,0,0
00103,45,0,0
00104,45,0,0
00105,45,0,0
00106,45,0,0
00107,45,0,0
00108,45,0,0
00109,45,0,0
00110,45,0,0
00111,45,0,0
00112,45,0,0
00113,45,0,0
00114,45,0,0
00115,45,0,0
00116,45,0,0
00117,45,0,0
00118,45,0,0
00119,45,0,0
00120,45,0,0
00121,45,0,0
00122,45,0,0
00123,45,0,0
00124,45,0,0
00125,45,0,0
00126,45,0,0
00127,45,0,0
00128,45,0,0
00129,45,0,0
00130,45,0,0
00131,45,0,0
00132,45,0,0
00133,45,0,0
00134,45,0,0
00135,45,0,0
00136,45,0,0
00137,45,0,0
00138,45,0,0
00139,45,0,0
00140,45,0,0
00141,45,0,0
00142,45,0,0
00143,45,0,0
00144,45,0,0
00145,45,0,0
00146,45,0,0
00147,45,0,0
00148,45,0,0
00149,45,0,0
00150,45,0,0
00151,45,0,0
00152,45,0,0
00153,45,0,0
00154,45,0,0
00155,45,0,0
00156,45,0,0
00157,45,0,0
00158,45,0,0
00159,45,0,0
00160,45,0,0
00161,45,0,0
00162,45,0,0
00163,45,0,0
00164,45,0,0
00165,45,0,0
00166,45,0,0
00167,45,0,0
00168,45,0,0
00169,45,0,0
00170,45,0,0
00171,45,0,0
00172,45,0,0
00173,45,0,0
00174,45,0,0
00175,45,0,0
00176,45,0,0
00177,45,0,0
00178,45,0,0
00179,45,0,0
00180,45,0,0
00181,45,0,0
00182,45,0,0
00183,45,0,0
00184,45,0,0
00185,45,0,0
00186,45,0,0
00187,45,0,0
00188,45,0,0
00189,45,0,0
00190,45,0,0
00191,45,0,0
00192,45,0,0
00193,45,0,0
00194,45,0,0
00195,45,0,0
00196,45,0,0
00197,45,0,0
00198,45,0,0
00199,45,0,0
00200,45,0,0
00201,45,0,0
00202,45,0,0
00203,45,0,0
00204,45,0,0
00205,45,0,0
00206,45,0,0
00207,45,0,0
00208,45,0,0
00209,45,0,0
00210,45,0,0
00211,45,0,0
00212,45,0,0
00213,45,0,0
00214,45,0,0
00215,45,0,0
00216,45,0,0
00217,45,0,0
00218,45,0,0
00219,45,0,0
00220,45,0,0
00221,45,0,0
00222,45,0,0
00223,45,0,0
00224,45,0,0
00225,45,0,0
00226,45,0,0
00227,45,0,0
00228,45,0,0
00229,45,0,0
00230,45,0,0
00231,45,0,0
00232,45,0,0
00233,45,0,0
00234,45,0,0
00235,45,0,0
00236,45,0,0
00237,45,0,0
00238,45,0,0
00239,45,0,0
00240,45,0,0
00241,45,0,0
00242,45,0,0
00243,45,0,0
00244,45,0,0
00245,45,0,0
00246,45,0,0
00247,45,0,0
00248,45,0,0
00249,45,0,0
00250,45,0,0
00251,45,0,0
00252,45,0,0
00253,45,0,0
00254,45,0,0
00255,45,0,0
00256,45,0,0
00257,45,0,0
00258,45,0,0
00259,45,0,0
00260,45,0,0
00261,45,0,0
00262,45,0,0
00263,45,0,0
00264,45,0,0
00265,45,0,0
00266,45,0,0
00267,45,0,0
00268,45,0,0
00269,45,0,0
